age,campaign,pdays,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,marital1,education1,default1,housing1,loan1,contact1,month1,day_of_week1,poutcome1,y1,job1
28,2,999,0,1.1,93.994,-36.4,4.856,5191,2,4,2,2,2,1,1,3,1,2,12
35,2,999,0,1.1,93.994,-36.4,4.859,5191,1,7,1,2,1,1,1,3,1,2,12
35,1,999,0,1.1,93.994,-36.4,4.859,5191,2,2,1,1,2,1,1,5,1,2,12
29,1,999,0,1.1,93.994,-36.4,4.857,5191,2,2,1,1,2,1,1,1,1,2,12
30,1,999,0,1.4,94.465,-41.8,4.864,5228.1,2,2,1,1,1,1,2,3,1,2,12
35,1,999,0,1.4,94.465,-41.8,4.961,5228.1,2,7,2,1,1,1,2,4,1,2,12
32,2,999,0,1.4,93.918,-42.7,4.962,5228.1,2,2,1,2,1,2,3,4,1,2,12
33,1,999,0,1.4,93.444,-36.1,4.97,5228.1,3,5,1,1,1,2,4,1,1,2,12
27,1,999,0,-0.1,93.798,-40.4,4.968,5195.8,2,2,1,1,1,1,5,2,1,2,12
47,1,999,0,-0.1,93.2,-42,4.406,5195.8,2,6,1,3,3,1,6,1,1,2,12
29,1,999,0,-0.1,93.2,-42,4.076,5195.8,2,2,1,2,1,2,6,4,1,2,12
26,4,999,0,-1.8,92.843,-50,1.811,5099.1,2,4,1,2,1,2,8,1,1,2,12
26,2,999,0,-1.8,92.843,-50,1.811,5099.1,2,4,1,2,1,2,8,1,1,2,12
26,3,999,0,-1.8,92.843,-50,1.811,5099.1,2,4,1,2,1,2,8,1,1,2,12
28,1,999,0,-1.8,92.843,-50,1.799,5099.1,2,4,1,2,1,2,8,2,1,2,12
28,1,999,0,-1.8,92.843,-50,1.799,5099.1,2,4,1,2,1,2,8,2,1,2,12
27,4,999,0,-1.8,92.843,-50,1.65,5099.1,2,2,1,2,1,2,8,4,1,2,12
19,4,999,0,-1.8,92.843,-50,1.64,5099.1,2,4,1,2,1,2,8,5,1,2,12
30,5,10,2,-1.8,92.843,-50,1.64,5099.1,2,2,1,1,1,2,8,5,2,2,12
21,1,999,0,-1.8,92.843,-50,1.614,5099.1,2,2,1,1,1,2,8,2,1,2,12
19,1,999,0,-1.8,92.843,-50,1.556,5099.1,2,3,1,1,1,2,8,2,1,2,12
26,1,999,0,-1.8,92.843,-50,1.538,5099.1,2,2,1,1,1,2,8,4,1,2,12
20,1,999,0,-1.8,92.843,-50,1.538,5099.1,2,4,1,2,1,2,8,4,1,2,12
20,4,999,0,-1.8,93.075,-47.1,1.498,5099.1,2,6,1,2,1,2,9,3,1,2,12
25,1,999,0,-1.8,93.075,-47.1,1.445,5099.1,2,2,1,2,1,2,9,3,1,2,12
25,1,999,0,-1.8,93.075,-47.1,1.445,5099.1,2,2,1,2,1,2,9,3,1,2,12
25,1,999,0,-1.8,93.075,-47.1,1.415,5099.1,2,2,1,2,2,2,9,3,1,2,12
25,1,999,0,-1.8,93.075,-47.1,1.415,5099.1,2,2,1,1,1,1,9,3,1,2,12
26,2,999,0,-1.8,93.075,-47.1,1.41,5099.1,2,7,1,1,2,2,9,4,1,2,12
31,1,999,1,-1.8,93.075,-47.1,1.41,5099.1,2,6,2,2,1,2,9,4,2,2,12
19,1,999,0,-1.8,93.075,-47.1,1.405,5099.1,2,6,1,2,1,2,9,5,1,2,12
19,3,999,0,-1.8,93.075,-47.1,1.405,5099.1,2,6,1,2,1,2,9,5,1,2,12
